x,u
0.0,1.0
0.0015,1.0
0.003,1.0
0.0045000000000000005,1.0
0.006,1.0
0.0075,1.0
0.009000000000000001,1.0
0.0105,1.0
0.012,1.0
0.0135,1.0
0.015,1.0
0.0165,1.0
0.018000000000000002,1.0
0.0195,1.0
0.021,1.0
0.0225,1.0
0.024,1.0
0.025500000000000002,1.0
0.027,1.0
0.0285,1.0
0.03,0.21468304511145397
0.0315,0.2161743923517364
0.033,0.2177357693137324
0.0345,0.21936679075103982
0.036000000000000004,0.22106705423352463
0.0375,0.22283614024661397
0.039,0.22467361229480565
0.0405,0.22657901700936645
0.042,0.22855188426019418
0.043500000000000004,0.23059172727181532
0.045,0.23269804274348965
0.0465,0.23487031097339195
0.048,0.23710799598684096
0.0495,0.23941054566854264
0.051000000000000004,0.25431071525524734
0.0525,0.275109650131267
0.054,0.29487698975956694
0.0555,0.3130001905643879
0.057,0.3289271519952104
0.0585,0.34218575277687935
0.06,0.35240055331703113
0.0615,0.3593060725853206
0.063,0.3627561691301201
0.0645,0.3627291939113642
0.066,0.3593287324138652
0.0675,0.35277990975748547
0.069,0.343421389703731
0.07050000000000001,0.33169335100431674
0.07200000000000001,0.31812186704204437
0.0735,0.3033002421296159
0.075,0.28786796564403583
0.0765,0.2724880295637333
0.078,0.25782341295292566
0.0795,0.2445135664491684
0.081,0.23315172981003557
0.0825,0.2242638860634502
0.084,0.21829009782879116
0.0855,0.21556888698642535
0.08700000000000001,0.2163252110612799
0.0885,0.22066246227078695
0.09,0.22855877268274266
0.0915,0.23986775638263003
0.093,0.25432366236678183
0.0945,0.2715507556256915
0.096,0.2910765940961295
0.0975,0.31234873114772044
0.099,0.33475425191845815
0.1005,0.35764145142320913
0.10200000000000001,0.3803428864859709
0.10350000000000001,0.4021989848783353
0.105,0.4225813753073831
0.1065,0.4409151117853665
0.108,0.4566990050806797
0.1095,0.4695233410072925
0.111,0.47908435788243464
0.1125,0.4851949702904731
0.114,0.48779135926746553
0.1155,0.48693519545504804
0.117,0.4828114164766142
0.11850000000000001,0.47572163728269634
0.12,0.46607342691676323
0.1215,0.4543658315868162
0.123,0.441171656904717
0.1245,0.4271171369633196
0.126,0.4128597104941133
0.1275,0.39906469140573364
0.129,0.38638166017086584
0.1305,0.37542141241817756
0.132,0.3667342813467037
0.1335,0.36079060191179085
0.135,0.3579640088584154
0.1365,0.35851816028727745
0.138,0.36259735708788154
0.1395,0.3702213905598234
0.14100000000000001,0.38128480075784377
0.14250000000000002,0.39556057184415183
0.14400000000000002,0.41270813354833735
0.1455,0.4322853852892072
0.147,0.4537643170080935
0.1485,0.476549673347881
0.15,0.49999999999999994
0.1515,0.5234503266521184
0.153,0.5462356829919061
0.1545,0.5677146147107924
0.156,0.5872918664516628
0.1575,0.6044394281558481
0.159,0.6187151992421562
0.1605,0.6297786094401767
0.162,0.6374026429121185
0.1635,0.6414818397127227
0.165,0.6420359911415846
0.1665,0.6392093980882093
0.168,0.6332657186532963
0.1695,0.6245785875818228
0.171,0.6136183398291343
0.17250000000000001,0.6009353085942664
0.17400000000000002,0.5871402895058869
0.17550000000000002,0.5728828630366807
0.177,0.5588283430952835
0.1785,0.5456341684131842
0.18,0.533926573083237
0.1815,0.5242783627173038
0.183,0.5171885835233859
0.1845,0.513064804544952
0.186,0.5122086407325345
0.1875,0.5148050297095269
0.189,0.5209156421175654
0.1905,0.5304766589927075
0.192,0.5433009949193204
0.1935,0.5590848882146334
0.195,0.5774186246926167
0.1965,0.597801015121665
0.198,0.6196571135140292
0.1995,0.642358548576791
0.201,0.700887792135283
0.2025,0.7518552210443001
0.20400000000000001,0.7512307437403007
0.20550000000000002,0.7015193006679072
0.20700000000000002,0.6318125580871711
0.2085,0.582018870366382
0.21,0.5812299240582263
0.2115,0.6319507001875928
0.213,0.7087411048123775
0.2145,0.7720055894509126
0.216,0.7894559219974759
0.2175,0.7536129397283029
0.219,0.6858602362406657
0.2205,0.6248524297753536
0.222,0.6055614589357794
0.2235,0.6403191283848251
0.225,0.7121320343559638
0.2265,0.7838925999218254
0.228,0.8184932610692507
0.2295,0.798940652771162
0.231,0.7375666442455684
0.2325,0.6693432644507622
0.234,0.6329252477598679
0.23550000000000001,0.6496963296512975
0.23700000000000002,0.7121775149962217
0.23850000000000002,0.788080764956299
0.24,0.8378107499419991
0.2415,0.8359276204741095
0.243,0.7849366275508373
0.2445,0.7139297531420146
0.246,0.6628156724040031
0.2475,0.6606863976767121
0.249,0.710047240691011
0.2505,0.7854584430479419
0.252,0.8473247965633602
0.2535,0.863358414099477
0.255,0.8260804824857583
0.2565,0.7568749493717549
0.258,0.6943967914622271
0.2595,0.6736183101478064
0.261,0.7068716771123252
0.2625,0.777163859753386
0.264,0.8473876563593444
0.2655,0.8804358820917874
0.267,0.8593155549638465
0.2685,0.7963589310046937
0.27,0.7265384296592989
0.2715,0.6885091793666303
0.273,0.7036553131528815
0.2745,0.7644982368208539
0.276,0.8387503157487611
0.2775,0.8868166277488185
0.279,0.8832577338282261
0.2805,0.7937668431865297
0.28200000000000003,0.7946861752186066
0.28350000000000003,0.7955327978464322
0.28500000000000003,0.7963065021785414
0.28650000000000003,0.7970070973149672
0.28800000000000003,0.7976344103943434
0.2895,0.798188286636554
0.291,0.798668589380924
0.2925,0.7990752001199384
0.294,0.7994080185284815
0.2955,0.799666962488591
0.297,0.7998519681097195
0.2985,0.7999629897444982
0.3,0.8
