x,u
0.0,30.00000000000001
0.0015,27.439139007181694
0.003,25.005342282608726
0.0045000000000000005,22.695709387616496
0.006,20.507368221343917
0.0075,18.437475020733395
0.009000000000000001,16.483214360530834
0.0105,14.641799153285644
0.012,12.910470649350728
0.0135,11.286498436882498
0.015,9.767180441840862
0.0165,8.349842927989231
0.018000000000000002,7.031840496894519
0.0195,5.810556087927135
0.021,4.683400978260994
0.0225,3.6478147828735046
0.024,2.7012654545455907
0.025500000000000002,1.8412492838616625
0.027,1.0652908992096353
0.0285,0.37094326678093326
0.03,-0.24421230942953948
0.0315,-0.7825661876233496
0.033,-1.2464803881985826
0.0345,-1.6382885937498197
0.036000000000000004,-1.960296149068139
0.0375,-2.214780061141104
0.039,-2.4039889991528223
0.0405,-2.5301432944838513
0.042,-2.595434940711253
0.043500000000000004,-2.6020275936086295
0.045,-2.5520565711460352
0.0465,-2.447628853490031
0.048,-2.2908230830037253
0.0495,-2.0836895642466633
0.051000000000000004,-1.828250263974917
0.0525,-1.5264988111410802
0.054,-1.1804004968941746
0.0555,-0.7918922745797876
0.057,-0.36288275974000195
0.0585,0.10474776988661194
0.06,0.6091473743650182
0.0615,1.148492451563646
0.063,1.7209877371544122
0.0645,2.324866304612767
0.066,2.958389565217666
0.0675,3.6198472680515197
0.069,4.307557500000272
0.07050000000000001,5.0198666857533745
0.07200000000000001,5.755149587803789
0.0735,6.5118093064479075
0.075,7.288277279785722
0.0765,8.083013283720614
0.078,8.894505431959624
0.0795,9.721270176013146
0.081,10.561852305195076
0.0825,11.414824946622973
0.084,12.27878956521768
0.0855,13.15237596370371
0.08700000000000001,14.034242282608972
0.0885,14.923075000264951
0.09,15.817588932806592
0.0915,16.716527234172357
0.093,17.618661396104194
0.0945,18.52279124814756
0.096,19.42774495765134
0.0975,20.332379029768074
0.099,21.235578307453697
0.1005,22.136255971467662
0.10200000000000001,23.03335354037296
0.10350000000000001,23.92584087053598
0.105,24.81271615612672
0.1065,25.693005929118723
0.108,26.56576505928879
0.1095,27.430076754217495
0.111,28.28505255928885
0.1125,29.12983235769014
0.114,29.963584370412484
0.1155,30.785505156250245
0.117,31.594819611801498
0.11850000000000001,32.39078097146771
0.12,33.172670807453684
0.1215,33.93979902976803
0.123,34.69150388622273
0.1245,35.42715196243323
0.126,36.14613818181844
0.1275,36.84788580560089
0.129,37.53184643280653
0.1305,38.197500000264895
0.132,38.84435478260896
0.1335,39.471947392275055
0.135,40.07984277950341
0.1365,40.66763423233721
0.138,41.234943376623576
0.1395,41.78142017601307
0.14100000000000001,42.30674293195955
0.14250000000000002,42.81061828372064
0.14400000000000002,43.292781208357155
0.1455,43.752995020733565
0.147,44.19105137351799
0.1485,44.606770257181964
0.15,45.00000000000024
0.1515,45.37061726805155
0.153,45.718527065217515
0.1545,46.04366273318405
0.156,46.34598595144004
0.1575,46.62548673727787
0.159,46.8821834457936
0.1605,47.11612276988657
0.162,47.327379740259886
0.1635,47.5160577254201
0.165,47.68228843167722
0.1665,47.82623190314462
0.168,47.948076521739296
0.1695,48.04803900718181
0.171,48.12636441699621
0.17250000000000001,48.183326146509756
0.17400000000000002,48.2192259288538
0.17550000000000002,48.234393834962646
0.177,48.22918827357432
0.1785,48.203995991230386
0.18,48.15923207227567
0.1815,48.095339938858785
0.183,48.01279135093188
0.1845,47.91208640625024
0.186,47.79375354037279
0.1875,47.658349526662164
0.189,47.506459476284874
0.1905,47.33869683820939
0.192,47.1557033992097
0.1935,46.95814928386136
0.195,46.74673295454562
0.1965,46.522181211444945
0.198,46.2852491925467
0.1995,46.03672037364106
0.201,45.77740656832293
0.2025,45.50814792798934
0.20400000000000001,45.22981294184075
0.20550000000000002,44.943298436882344
0.20700000000000002,44.64952957792195
0.2085,44.34945986757117
0.21,44.044071146245074
0.2115,43.73437359216183
0.213,43.42140572134389
0.2145,43.10623438761638
0.216,42.78995478260862
0.2175,42.473690435753156
0.219,42.1585932142857
0.2205,41.84584332324607
0.222,41.536649305477226
0.2235,41.23224804162521
0.225,40.933904750141096
0.2265,40.642912987277555
0.228,40.36059464709194
0.2295,40.08829996144493
0.231,39.82740749999982
0.2325,39.57932417022539
0.234,39.345485217391115
0.23550000000000001,39.12735422457297
0.23700000000000002,38.926423112648195
0.23850000000000002,38.74421214029849
0.24,38.58226990400908
0.2415,38.44217333806807
0.243,38.325527714567784
0.2445,38.233966643404415
0.246,38.16915207227521
0.2475,38.132774286684366
0.249,38.12655190993769
0.2505,38.15223190314441
0.252,38.21158956521708
0.2535,38.30642853287361
0.255,38.43858078063192
0.2565,38.60990662081758
0.258,38.822294703556736
0.2595,39.07766201678032
0.261,39.37795388622203
0.2625,39.72514397541954
0.264,40.12123428571431
0.2655,40.56825515624928
0.267,41.06826526397458
0.2685,41.623351623641156
0.27,42.235629587803714
0.2715,42.90724284681937
0.273,43.640363428853334
0.2745,44.43719169986889
0.276,45.2999563636356
0.2775,46.230914461727025
0.279,47.232351373517304
0.2805,48.30658081618776
0.28200000000000003,49.45594484472031
0.28350000000000003,50.68281385190221
0.28500000000000003,51.98958656832315
0.28650000000000003,53.37869006237656
0.28800000000000003,54.85257974025967
0.2895,56.413739345973
0.291,58.06468096132107
0.2925,59.80794500591014
0.294,61.64610023715363
0.2955,63.58174375026442
0.297,65.61750097826075
0.2985,67.75602569196371
0.3,69.99999999999977
